Timestamp; Table Name; Topic Name; Value
1678668458753; SmartDashboard; Pose (Estimated); (5.684, -0.480, -31.1 degrees)
1678668458753; SmartDashboard; Wheel Encoder Positions; (0.000, -0.302)
1678668458753; limelight; botpose; [5.63793423733835, -0.4996226030297996, 0.3648946842185509, 2.406509839819115, 0.7953907784372478, -19.253864524305694]
1678668458753; SmartDashboard; Pose (LimeLight); (5.638, -0.500, -19.3 degrees)
1678668458853; SmartDashboard; Pose (Estimated); (5.668, -0.474, -32.2 degrees)
1678668458853; SmartDashboard; Wheel Encoder Positions; (0.000, -0.327)
1678668458854; limelight; botpose; [5.633816068471092, -0.47882158308794337, 0.3594730157409545, 2.5702467828211653, 0.6051727282479274, -20.024317015082303]
1678668458854; SmartDashboard; Pose (LimeLight); (5.634, -0.479, -20.0 degrees)
1678668458954; SmartDashboard; Pose (Estimated); (5.652, -0.467, -33.3 degrees)
1678668458955; SmartDashboard; Wheel Encoder Positions; (0.000, -0.354)
1678668458955; limelight; botpose; [5.615227875761734, -0.47680648804965853, 0.35277974023696157, 2.6590508796766534, 0.3989544780064772, -20.174836520136456]
1678668458955; SmartDashboard; Pose (LimeLight); (5.615, -0.477, -20.2 degrees)
1678668459055; SmartDashboard; Pose (Estimated); (5.636, -0.460, -34.2 degrees)
1678668459055; SmartDashboard; Wheel Encoder Positions; (0.000, -0.380)
1678668459055; limelight; botpose; [5.600026690452237, -0.4686056219915326, 0.35456884184516024, 2.5633844608410623, 0.4957987358691766, -20.73152279582639]
1678668459055; SmartDashboard; Pose (LimeLight); (5.600, -0.469, -20.7 degrees)
1678668459156; SmartDashboard; Pose (Estimated); (5.620, -0.453, -35.2 degrees)
1678668459156; SmartDashboard; Wheel Encoder Positions; (0.000, -0.407)
1678668459156; limelight; botpose; [5.584416351362752, -0.46331381324681, 0.35225093389828244, 2.583373076677353, 0.473214852086274, -21.21920022257017]
1678668459156; SmartDashboard; Pose (LimeLight); (5.584, -0.463, -21.2 degrees)
1678668459257; limelight; botpose; [5.561034238124597, -0.44182755838406956, 0.3286072731730668, 2.877880993350553, -0.20023096078607772, -22.54935215446435]
1678668459258; SmartDashboard; Pose (LimeLight); (5.561, -0.442, -22.5 degrees)
1678668459258; SmartDashboard; Pose (Estimated); (5.600, -0.447, -34.6 degrees)
1678668459258; SmartDashboard; Wheel Encoder Positions; (0.000, -0.431)
1678668459362; SmartDashboard; Pose (Estimated); (5.584, -0.442, -35.1 degrees)
1678668459363; SmartDashboard; Wheel Encoder Positions; (0.000, -0.453)
1678668459363; limelight; botpose; [5.522206913377284, -0.46030333721229144, 0.34047275519947456, 2.7504770146545527, 0.23168183733613237, -22.081355548327632]
1678668459363; SmartDashboard; Pose (LimeLight); (5.522, -0.460, -22.1 degrees)
1678668459456; SmartDashboard; Pose (Estimated); (5.568, -0.437, -35.8 degrees)
1678668459456; SmartDashboard; Wheel Encoder Positions; (0.000, -0.475)
1678668459456; limelight; botpose; [5.509390016260977, -0.44757865006981884, 0.34685901135686903, 2.806458809643198, 0.46976462809474784, -22.716427212157615]
1678668459457; SmartDashboard; Pose (LimeLight); (5.509, -0.448, -22.7 degrees)
1678668459592; SmartDashboard; Pose (Estimated); (5.551, -0.432, -36.3 degrees)
1678668459592; SmartDashboard; Wheel Encoder Positions; (0.000, -0.498)
1678668459592; limelight; botpose; [5.48537985111728, -0.4529192989404272, 0.3638987715993745, 2.8084741196996728, 0.9955104754177877, -22.635946141168066]
1678668459592; SmartDashboard; Pose (LimeLight); (5.485, -0.453, -22.6 degrees)
1678668459657; SmartDashboard; Pose (Estimated); (5.536, -0.426, -36.8 degrees)
1678668459657; SmartDashboard; Wheel Encoder Positions; (0.000, -0.518)
1678668459658; limelight; botpose; [5.480162639808507, -0.43189404581173935, 0.35556801899447926, 2.7392220388378994, 0.7689882780715493, -23.54975939641954]
1678668459658; SmartDashboard; Pose (LimeLight); (5.480, -0.432, -23.5 degrees)
1678668459756; SmartDashboard; Pose (Estimated); (5.522, -0.421, -37.2 degrees)
1678668459757; SmartDashboard; Wheel Encoder Positions; (0.000, -0.538)
1678668459757; limelight; botpose; [5.46614926184887, -0.42517687721382563, 0.35388623277972614, 2.859017319033131, 0.7626029998924542, -24.085973135212907]
1678668459757; SmartDashboard; Pose (LimeLight); (5.466, -0.425, -24.1 degrees)
1678668459855; SmartDashboard; Pose (Estimated); (5.506, -0.416, -37.5 degrees)
1678668459856; SmartDashboard; Wheel Encoder Positions; (0.000, -0.557)
1678668459856; limelight; botpose; [5.4398155030629125, -0.4344292092032821, 0.38443582357153755, 2.665942922252554, 1.6812334695340396, -24.01659282000414]
1678668459856; SmartDashboard; Pose (LimeLight); (5.440, -0.434, -24.0 degrees)
1678668459955; limelight; botpose; [5.419049174558371, -0.4255976793665964, 0.3785889948436627, 2.5880246931514264, 1.5132906082591564, -24.505647781668117]
1678668459956; SmartDashboard; Pose (LimeLight); (5.419, -0.426, -24.5 degrees)
1678668459956; SmartDashboard; Pose (Estimated); (5.485, -0.411, -36.7 degrees)
