Timestamp; Table Name; Topic Name; Value
1678673215930; limelight; botpose; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1678673215930; SmartDashboard; Target ID; 3
1678673216101; limelight; botpose; [6.288846925379719, 0.37597085747589964, 0.43458637661367255, 0.3893653422957425, 0.7380925876990585, -6.460531465070398]
1678673216201; limelight; botpose; [6.17729101239609, 0.3366869748842898, 0.43240720130717053, 0.38567952711670167, 0.6891338518691502, -3.6376270289596015]
1678673216301; limelight; botpose; [6.01855315802219, 0.4103172182776676, 0.44682193845611223, 0.6319962516396286, 1.4710369583293779, -6.630038532737507]
1678673216402; limelight; botpose; [5.8512644727508505, 0.17817271773738572, 0.31294741178344576, 0.1596337532204833, -3.9107919477648103, 3.666265658477761]
1678673216502; limelight; botpose; [5.601083747178685, 0.5374817629364846, 0.42330311252832514, 0.6548531042840199, 0.19504491000421934, -9.43006748662566]
1678673216603; limelight; botpose; [5.266800226304122, 0.5353989136602498, 0.8350440475465198, 0.4787737778655401, 11.638892109170264, -7.9230982466491024]
1678673216703; limelight; botpose; [4.976220737118596, 0.5934833180121706, 0.12438968797051161, 1.2992415848400167, -7.183202671345395, -8.489107899117679]
1678673216804; limelight; botpose; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1678673220705; limelight; botpose; [4.864645633683285, 1.7718567814776551, 1.2171664649041656, -1.8753119701772971, 16.54670454519456, -31.650656711725375]
1678673220705; limelight; botpose; [4.540603250372018, 0.8574687797641425, 1.0900433725749261, 0.06317936516195088, 14.171278358408427, -11.063567665542022]
1678673220713; limelight; botpose; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1678673220816; limelight; botpose; [4.726684396792128, 1.1801790345928511, 0.2672878745050109, 2.070139943362966, -2.9996216294201616, -18.411925439657246]
1678673220915; limelight; botpose; [4.754995270575948, 0.08456557172287874, -0.28970827442370545, -0.5905744872056686, -15.556800174660783, 6.139686702719126]
1678673221018; limelight; botpose; [5.310935482369849, -1.1033887334098964, 0.5904330579058141, 3.4200760302409194, 4.200905792634104, 36.61028224282961]
1678673221138; limelight; botpose; [4.7433962061244515, 0.8190107494684179, 0.11878959068423962, 0.8492870657952201, -6.534923474091389, -10.351667387713746]
1678673221218; limelight; botpose; [4.8094683719444715, 0.12065252806786461, 0.985742039045869, 1.5526080071373507, 13.23938818543281, 5.72486923957037]
1678673221340; limelight; botpose; [4.803051159325345, 0.2381516977170773, -0.04764324358362313, 0.6393241104910897, -10.599667590339342, 3.0955664273641323]
1678673221420; limelight; botpose; [4.931903377537466, 0.7100045502658874, 1.0522357338747639, 1.0377297412589586, 15.351558790917196, -8.444057477270894]
1678673221523; limelight; botpose; [4.933230291393695, -0.23485815321709175, 0.18528192461315374, 0.09729601073551473, -5.456326540146334, 14.568834797404131]
1678673221618; limelight; botpose; [4.952869277753556, -0.125528656106891, 0.7295482539997851, 2.3394442636548294, 7.610013230410724, 12.194929430532614]
1678673221718; limelight; botpose; [5.041646835546199, -0.34392718282925333, 0.8709904751359812, 2.9276745764302046, 11.088942989643943, 17.96505400642443]
1678673221820; limelight; botpose; [4.969974541502741, -0.3269844424902806, 0.35962533256247825, 0.3621088238099052, -1.3447542155827783, 17.073686602675053]
1678673221921; limelight; botpose; [5.04622757948086, -0.3619365191056587, 0.04225196226798621, -1.7161355689642475, -9.115376743728572, 18.36082984614813]
1678673222019; limelight; botpose; [4.9780783149965275, 0.6080551051183404, 0.016698325027809307, 0.5881896043341317, -9.8967242363687, -5.525187339827735]
1678673222188; limelight; botpose; [5.038573048721556, -0.3646070244537511, 0.3328824525308611, 0.21515301097328365, -2.074829881511521, 20.394885557950023]
1678673222220; limelight; botpose; [4.9683707508097035, -0.13823747386389132, 0.26635802056392954, -0.1517023844480782, -3.636459557610241, 15.988128137533371]
1678673222325; limelight; botpose; [4.9196636731381895, 0.6786132106804467, 0.41078643655209207, 0.02621113236997987, -0.10698179439470017, -3.066539853451195]
1678673222428; limelight; botpose; [4.921372757156932, 0.6851107878710418, 0.3862338567763167, 0.13226745095762357, -0.7168492545155062, -2.140267994364214]
1678673222523; limelight; botpose; [4.9233901309566015, 0.6757385625042697, 0.2599192631180759, 0.15876907859484216, -3.835716225065246, -1.0164325548115798]
1678673222626; limelight; botpose; [4.985328310340191, -0.0514970426937596, 0.8115226819293014, 3.347155025963331, 9.396582980104432, 18.307288307911524]
1678673222723; limelight; botpose; [5.027696297969818, -0.07706326803542189, 1.0462227565161544, 5.910946206650805, 14.858480672071918, 20.496908513350856]
1678673222827; limelight; botpose; [4.903155300641308, 0.2018386220816638, 0.6930458650542742, 2.4200999916514765, 6.425629277650921, 14.174221334028676]
1678673222923; limelight; botpose; [4.899701750739056, 0.4814759794510637, 0.42961435484425836, 0.6035343871037847, 0.1885953265945584, 8.272594488246517]
1678673223026; limelight; botpose; [5.016006304169772, 0.625843283491342, -0.10454303529708055, -2.361611743210075, -12.914032993582902, 5.942090802571855]
1678673223125; limelight; botpose; [4.980305535816041, 0.9158055752194355, 0.4762604484745841, 1.0253556216052682, 1.2383675867106785, -0.3831971812790454]
1678673223236; limelight; botpose; [5.079170269429742, 0.9731053682438315, 0.055254356584704956, -0.6993672394620534, -9.353889950105396, -1.243427574718475]
